city,lat,lng,country,population,lat_rad,lng_rad,airport_id,own_airport,Linked
Puyang,35.7639,115.03,China,3580000.0,0.6241978083540001,2.007652238569077,[8407],0.0,False
Suining,30.5098,105.5737,China,3556000.0,0.5324964641249661,1.8426086685127376,[6401],0.0,False
Jiaozuo,35.229,113.2304,China,3540101.0,0.6148620421850823,1.9762432933501877,[4148],0.0,False
Bengbu,32.9354,117.3531,China,3525000.0,0.5748311704613405,2.048197982422157,[12052],1.0,False
Montréal,45.5089,-73.5617,Canada,3519595.0,0.7942801439608473,-1.2838938683643129,[71],0.0,False
Detroit,42.3834,-83.1024,United States,3506126.0,0.7397298781897647,-1.4504104963093358,"[3645, 3737, 3809]",1.0,False
Baicheng,23.901,106.6194,China,3466758.0,0.4171511445191647,1.8608595765008424,[13470],1.0,False
Busan,35.1,129.0403,"Korea, South",3440484.0,0.6126105674500097,2.2521781027612393,[2372],1.0,False
Algiers,36.7764,3.0586,Algeria,3415811.0,0.6418692670304427,0.05338264050149857,[210],0.0,False
Qincheng,34.5809,105.7311,China,3400000.0,0.6035505633029071,1.8453558167553763,[8889],0.0,False
Taiyuan,37.8733,112.5425,China,3398000.0,0.6610137835955684,1.9642371734257185,[3369],1.0,False
Lucknow,26.846999999999998,80.947,India,3382000.0,0.4685685442829177,1.41279166961185,[3105],1.0,False
Chaoyang,41.5757,120.4486,China,3370000.0,0.7256328538214064,2.102224649417642,[6772],1.0,False
Hechi,24.6928,108.085,China,3369251.0,0.4309706615364558,1.8864391220180712,[10363],1.0,False
Leshan,29.5854,103.7575,China,3364000.0,0.5163626405195304,1.8109099986380164,[3395],0.0,False
Yulinshi,38.2655,109.7388,China,3328000.0,0.6678589649218902,1.9153033771875527,[6368],0.0,False
Siping,43.1715,124.3644,China,3300000.0,0.753484818024732,2.170568252267236,[4380],0.0,False
Madrid,40.4189,-3.6919,Spain,3266126.0,0.705442885034336,-0.06443581065437866,"[1224, 1229, 1245, 11878]",1.0,False
Jinan,36.6667,116.9833,China,3250000.0,0.6399546408410048,2.0417437548482824,[4108],1.0,False
Shiyan,32.6351,110.7755,China,3228000.0,0.5695899467176014,1.9333972055429784,[12048],1.0,False
Changzhi,36.1953,113.09700000000001,China,3230000.0,0.6317271587471036,1.9739150241280268,[6343],1.0,False
San Diego,32.8312,-117.1225,United States,3220118.0,0.5730125373807624,-2.0441732531670587,"[3594, 3731, 7659]",1.0,False
Faisalabad,31.418000000000003,73.079,Pakistan,3203846.0,0.5483475443915784,1.275469164064936,[2202],1.0,False
Santa Cruz,-17.7892,-63.1975,Bolivia,3151676.0,-0.3104801112957753,-1.1030044540291164,"[2771, 4247]",1.0,False
Bazhou,31.8576,106.7559,China,3134000.0,0.5560200117833456,1.8632419509298144,[6397],0.0,False
Zhongshan,22.5333,113.35,China,3121275.0,0.3932802763396383,1.9783307071355725,[3374],0.0,False
Zhenjiang,32.2109,119.4551,China,3113384.0,0.5621862600306415,2.0848848032990785,[4109],0.0,False
Ürümqi,43.825,87.6,China,3112559.0,0.7648905446865151,1.5289084247470326,[3399],0.0,False
Tongliao,43.6172,122.264,China,3094600.0,0.7612637505008707,2.133909356658347,[6348],1.0,False
Heyuan,23.7503,114.6923,China,3093900.0,0.4145209333364092,2.0017582616850924,[7458],0.0,False
Tongren,27.7233,109.1885,China,3093204.0,0.4838628645181439,1.9056988303138287,[6963],1.0,False
